2345148,2025-09-30,Round 1,Dubai Basketball,89,KK Partizan,76,,https://www.thesportsdb.com/images/media/event/thumb/xlysjw1759219937.jpg
2345149,2025-09-30,Round 1,Hapoel Tel Aviv BC,103,FC Barcelona Basquet,87,,https://www.thesportsdb.com/images/media/event/thumb/s47f8o1759219939.jpg
2345150,2025-09-30,Round 1,Anadolu Efes SK,,Maccabi Tel Aviv BC,,,https://www.thesportsdb.com/images/media/event/thumb/m673nk1759219940.jpg
2345151,2025-09-30,Round 1,KK Crvena zvezda,,Olimpia Milano,,,https://www.thesportsdb.com/images/media/event/thumb/3jcyni1759219942.jpg
2345152,2025-09-30,Round 1,Panathinaikos BC,,Bayern München Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/e4ashr1759219944.jpg
2345153,2025-09-30,Round 1,Baskonia,,Olympiacos BC,,,https://www.thesportsdb.com/images/media/event/thumb/1zu0z31759219945.jpg
2345154,2025-09-30,Round 1,Virtus Pallacanestro Bologna,,Real Madrid Baloncesto,,,https://www.thesportsdb.com/images/media/event/thumb/68y56g1759219946.jpg
2345155,2025-10-01,Round 1,AS Monaco Basket,,BC Žalgiris,,,https://www.thesportsdb.com/images/media/event/thumb/0eohel1759219947.jpg
2345156,2025-10-01,Round 1,Fenerbahçe Basketbol,,Paris Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/pqsf9u1759219949.jpg
2345157,2025-10-01,Round 1,Lyon-Villeurbanne,,Valencia Basket,,,https://www.thesportsdb.com/images/media/event/thumb/n3xd0z1759219950.jpg
2345158,2025-10-02,Round 2,KK Partizan,,Olimpia Milano,,,https://www.thesportsdb.com/images/media/event/thumb/zfw7d41759219951.jpg
2345159,2025-10-02,Round 2,Bayern München Basketball,,KK Crvena zvezda,,,https://www.thesportsdb.com/images/media/event/thumb/x0osm81759219952.jpg
2345160,2025-10-02,Round 2,Real Madrid Baloncesto,,Olympiacos BC,,,https://www.thesportsdb.com/images/media/event/thumb/ccyhvv1759219953.jpg
2345161,2025-10-03,Round 2,BC Žalgiris,,Fenerbahçe Basketbol,,,https://www.thesportsdb.com/images/media/event/thumb/2ryelt1759219955.jpg
2345162,2025-10-03,Round 2,Anadolu Efes SK,,Hapoel Tel Aviv BC,,,https://www.thesportsdb.com/images/media/event/thumb/nfbz1s1759219956.jpg
2345163,2025-10-03,Round 2,AS Monaco Basket,,Dubai Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/atnah11759219957.jpg
2345164,2025-10-03,Round 2,Lyon-Villeurbanne,,Baskonia,,,https://www.thesportsdb.com/images/media/event/thumb/8veq7p1759219958.jpg
2345165,2025-10-03,Round 2,Panathinaikos BC,,FC Barcelona Basquet,,,https://www.thesportsdb.com/images/media/event/thumb/1qfydi1759219959.jpg
2345166,2025-10-03,Round 2,Valencia Basket,,Virtus Pallacanestro Bologna,,,https://www.thesportsdb.com/images/media/event/thumb/lv584z1759219961.jpg
2345167,2025-10-03,Round 2,Maccabi Tel Aviv BC,,Paris Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/yyk5a11759219962.jpg
2345168,2025-10-08,Round 3,Hapoel Tel Aviv BC,,Maccabi Tel Aviv BC,,,https://www.thesportsdb.com/images/media/event/thumb/6yoacq1759219964.jpg
2345169,2025-10-09,Round 3,KK Partizan,,Anadolu Efes SK,,,https://www.thesportsdb.com/images/media/event/thumb/yazc3i1759219966.jpg
2345170,2025-10-09,Round 3,Olimpia Milano,,AS Monaco Basket,,,https://www.thesportsdb.com/images/media/event/thumb/lzhh3y1759219967.jpg
2345171,2025-10-09,Round 3,Baskonia,,Panathinaikos BC,,,https://www.thesportsdb.com/images/media/event/thumb/mdczuh1759219968.jpg
2345172,2025-10-09,Round 3,Paris Basketball,,Virtus Pallacanestro Bologna,,,https://www.thesportsdb.com/images/media/event/thumb/5bmyq91759219969.jpg
2345173,2025-10-09,Round 3,Real Madrid Baloncesto,,Lyon-Villeurbanne,,,https://www.thesportsdb.com/images/media/event/thumb/fp6af31759219971.jpg
2345174,2025-10-10,Round 3,Fenerbahçe Basketbol,,KK Crvena zvezda,,,https://www.thesportsdb.com/images/media/event/thumb/zzaoa61759219972.jpg
2345175,2025-10-10,Round 3,Olympiacos BC,,Dubai Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/5215c81759219973.jpg
2345176,2025-10-10,Round 3,FC Barcelona Basquet,,Valencia Basket,,https://r2.thesportsdb.com/images/media/event/poster/lguag41589561673.jpg,https://www.thesportsdb.com/images/media/event/thumb/bb3fwp1759219974.jpg
2345177,2025-10-10,Round 3,Bayern München Basketball,,BC Žalgiris,,,https://www.thesportsdb.com/images/media/event/thumb/xtycxi1759219975.jpg
2345180,2025-10-14,Round 4,Maccabi Tel Aviv BC,,FC Barcelona Basquet,,,https://www.thesportsdb.com/images/media/event/thumb/bci5za1759219977.jpg
2345178,2025-10-14,Round 4,Fenerbahçe Basketbol,,Dubai Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/yadxw01759219978.jpg
2345179,2025-10-14,Round 4,KK Crvena zvezda,,BC Žalgiris,,,https://www.thesportsdb.com/images/media/event/thumb/g294jn1759219979.jpg
2345181,2025-10-14,Round 4,Olympiacos BC,,Anadolu Efes SK,,,https://www.thesportsdb.com/images/media/event/thumb/lbjk3e1759219980.jpg
2345182,2025-10-14,Round 4,Bayern München Basketball,,Olimpia Milano,,,https://www.thesportsdb.com/images/media/event/thumb/32gz4q1759219982.jpg
2345183,2025-10-15,Round 4,Panathinaikos BC,,Lyon-Villeurbanne,,,https://www.thesportsdb.com/images/media/event/thumb/fmj1yg1759219983.jpg
2345184,2025-10-15,Round 4,Valencia Basket,,Hapoel Tel Aviv BC,,,https://www.thesportsdb.com/images/media/event/thumb/hra1ej1759219984.jpg
2345185,2025-10-15,Round 4,Virtus Pallacanestro Bologna,,AS Monaco Basket,,,https://www.thesportsdb.com/images/media/event/thumb/zdixei1759219986.jpg
2345186,2025-10-15,Round 4,Paris Basketball,,Baskonia,,,https://www.thesportsdb.com/images/media/event/thumb/g2ydqq1759219987.jpg
2345187,2025-10-15,Round 4,Real Madrid Baloncesto,,KK Partizan,,,https://www.thesportsdb.com/images/media/event/thumb/z3z8fl1759219988.jpg
2345188,2025-10-16,Round 5,Dubai Basketball,,FC Barcelona Basquet,,,https://www.thesportsdb.com/images/media/event/thumb/ylqy2l1759219989.jpg
2345189,2025-10-16,Round 5,BC Žalgiris,,Olimpia Milano,,,https://www.thesportsdb.com/images/media/event/thumb/z8yg2t1759219991.jpg
2345190,2025-10-16,Round 5,Fenerbahçe Basketbol,,Bayern München Basketball,,,https://www.thesportsdb.com/images/media/event/thumb/2lgfd21759219992.jpg
2345191,2025-10-16,Round 5,Maccabi Tel Aviv BC,,Olympiacos BC,,,https://www.thesportsdb.com/images/media/event/thumb/5xwrkn1759219993.jpg
2345192,2025-10-17,Round 5,KK Crvena zvezda,,Real Madrid Baloncesto,,,https://www.thesportsdb.com/images/media/event/thumb/3o77dg1759219995.jpg
2345193,2025-10-17,Round 5,AS Monaco Basket,,Valencia Basket,,,https://www.thesportsdb.com/images/media/event/thumb/6eddii1759219997.jpg
2345194,2025-10-17,Round 5,Anadolu Efes SK,,Panathinaikos BC,,,https://www.thesportsdb.com/images/media/event/thumb/1q4zgv1759219998.jpg
2345195,2025-10-17,Round 5,Lyon-Villeurbanne,,Virtus Pallacanestro Bologna,,,https://www.thesportsdb.com/images/media/event/thumb/l6q8zl1759219999.jpg
2345196,2025-10-17,Round 5,Baskonia,,KK Partizan,,,https://www.thesportsdb.com/images/media/event/thumb/t6yr3d1759220000.jpg
2345197,2025-10-17,Round 5,Paris Basketball,,Hapoel Tel Aviv BC,,,https://www.thesportsdb.com/images/media/event/thumb/5n4l9g1759220001.jpg
2345198,2025-10-22,Round 6,Maccabi Tel Aviv BC,,Real Madrid Baloncesto,,,https://www.thesportsdb.com/images/media/event/thumb/ewphja1759220002.jpg
